,Rk,Age,Pos,GP,G,A,P,PIM,+/-,TOI,PP,ESG,PPG,SHG,GWG,OTG,ESA,PPA,SHA,GWA,OTA,ESP,PPP,SHP,GWP,OTP,G/60,A/60,P/60,ESG/60,ESA/60,ESP/60,PPG/60,PPA/60,PPP/60,G/GP,A/GP,P/GP,SHOTS,HITS,BS,FOW,FOL,Unnamed: 0,start_year,team_id,id,primary_number,current_age,height,weight
Rk,1.0,-0.005812675400176877,0.35747791956890695,-0.7805596398313299,-0.8215774854606996,-0.8675077258648625,-0.9075936117051129,-0.3501409574282379,-0.27187561790346765,-0.6341701665573628,-0.7463413724106007,-0.8188048135041048,-0.64604377903099,-0.28933839568649317,-0.6646982676169115,-0.45784169651615403,-0.880158739621751,-0.6798062051229092,-0.2555468291312059,-0.717081610684876,-0.5050828805292933,-0.9215850919716703,-0.736611039160078,-0.34231820731382134,-0.786091688128195,-0.5873544529261855,-0.6789502218649207,-0.44795073776673566,-0.6495655572735084,-0.6460558440765551,-0.37578016517710106,-0.5957510888625142,-0.32839814636613995,-0.08949797109727858,-0.19688652225445374,-0.7620266823849753,-0.7126695421176636,-0.81448264768417,-0.8988820778555033,-0.18061446341860166,-0.22967006104660415,-0.3674958453191182,-0.3829763853987407,0.01850034166370827,,0.03299733567255268,0.08612801616889676,-0.05120481367655114,0.0010733907947012662,0.1331002411145295,0.02202000206623028
Age,-0.005812675400176877,1.0,0.07049001047012225,0.07859277834104524,-0.058870160627552126,0.024351538425162182,-0.010902762431212786,0.06324586681450423,0.0160774107136603,0.005131955146487835,-0.01552632698738174,-0.0769174410700686,-0.009736547761608535,-0.005439447198184748,-0.08867947662909403,-0.13139673699400323,0.03935936958336349,0.030144091494151096,0.043335404206643835,0.03300459607195147,-0.0019334047144424905,-0.006668271411454555,0.020177402213132675,0.027103955312591486,-0.027830163153774352,-0.07404007988929663,-0.06702801092842428,-0.0013626472230237616,-0.03366253698609225,-0.07815119362720517,0.0042736546768022445,-0.03560055611844451,-0.00932364695761549,-0.07538085085686874,-0.07346725937785879,-0.06406231923486147,0.0021640383840696486,-0.029000877328961193,0.0052630526577587535,0.06752939633309876,0.14266700455400358,0.09632059574736936,0.047515518705431366,0.06515817990581327,,0.07024467965255311,-0.9146205110256593,-0.07366863833932266,0.9927435678403198,0.03337185905463928,0.24162396433395328
Pos,0.35747791956890695,0.07049001047012225,1.0,-0.13807049046792308,-0.46346794165499305,-0.17503605263439775,-0.3153082091798212,-0.08915673882856856,0.080903572705113,0.09200756015382909,-0.29435734862728524,-0.4781641504867558,-0.31805212934890814,-0.2198187148072155,-0.3450775228500215,-0.11658267911215937,-0.11736100189544653,-0.08482649020478324,3.662740844028001e-05,-0.09005035807459173,-0.08159683798878445,-0.28815525699023636,-0.18604082815336642,-0.13855793838645303,-0.2548434917267466,-0.1342215496633,-0.6107669948844944,-0.2018017666492889,-0.44134853184047873,-0.6183015209584576,-0.19802666673257927,-0.45175110090386894,-0.25033019542004503,-0.04415992148846845,-0.12765644546922034,-0.5063277519810708,-0.15973536411119954,-0.3414521885336972,-0.23264836189647006,0.015828956301356275,0.5331679149992964,-0.37481067613099567,-0.4045868588042842,0.023851703939563734,,0.03181739182663657,-0.055197886208198974,-0.0999744328744273,0.07807611054971786,0.23105743562652525,0.15413450479073765
GP,-0.7805596398313299,0.07859277834104524,-0.13807049046792308,1.0,0.5337153274611285,0.6157487333386669,0.6222523222338491,0.47778887512811835,0.13656537675642216,0.4411941692492249,0.34459288682692896,0.5548225349930016,0.36006673948221235,0.23850151413247958,0.41864128039912174,0.26728236505647973,0.6734749658971101,0.3841758402410293,0.267050244539845,0.4819703982051421,0.30831556267696175,0.6700441995384019,0.4115301382955554,0.3179401686454306,0.5176310856367451,0.3554574687398375,0.31908655033665917,0.08383535767796733,0.21522652422338678,0.309674704295213,0.07354327995969029,0.20751992433483235,0.1454319138347995,-0.022120952846768495,0.029640981305891847,0.37534553824668526,0.30277539813784576,0.37043585154561587,0.7304936858043919,0.4822590063593342,0.4694802480849011,0.2759883459998974,0.2877380318341563,-0.01527779207733633,,-0.025415391785294037,-0.1352736439650202,0.007211949447363531,0.07746065314961681,-0.0012239919421185008,0.09976659575032036
G,-0.8215774854606996,-0.058870160627552126,-0.46346794165499305,0.5337153274611285,1.0,0.7403121218432305,0.9072305795962472,0.24999229268241469,0.2887759972162158,0.37534437274091087,0.7238984621810657,0.9702109983789046,0.8493879936389384,0.3228665521961019,0.839864673937155,0.5603777029697332,0.7212365155024398,0.6210869673900943,0.13395789807663866,0.6305614354763216,0.4658267832783803,0.8968151674187448,0.7770444738344671,0.2877641818845729,0.8138829306914316,0.6176739899233187,0.8940668319496041,0.4461161963429301,0.7531930872904172,0.8423008988082143,0.37432444501988227,0.6920535788422852,0.43648537672638726,0.0912453271811263,0.23586582684260174,0.9533803202984714,0.6265480476146976,0.8502745510545915,0.8504933086773467,0.08151455340625614,-0.08979945784321475,0.4209311385931023,0.4330891313710833,-0.021298313337096114,,-0.03866628688461591,-0.00933223079830223,0.105703006231601,-0.06964914103126302,-0.1340735114992485,-0.04843887710157901
A,-0.8675077258648625,0.024351538425162182,-0.17503605263439775,0.6157487333386669,0.7403121218432305,1.0,0.9544103729067106,0.252811350735309,0.3722503036062322,0.6240049069983177,0.7656394298928558,0.7083541974591631,0.6565269503831694,0.2073190365373944,0.6437326957954892,0.5091272070500004,0.957666622565236,0.879193705710149,0.262593889548799,0.869180471842482,0.6252345647487789,0.9139799982623407,0.8765281582597847,0.29294844169793627,0.8772014197061506,0.6996422439169799,0.5145258560518333,0.5914586361018376,0.671358131748686,0.4695402371819298,0.47248534630080646,0.579035974267857,0.25746829309632085,0.1749761125184703,0.2520357184648653,0.6577892082272868,0.879778025533972,0.8715208148446957,0.8269472770114203,0.048109631962155015,0.23973080449350506,0.3216946357134741,0.32494617501718726,0.0006196114581602337,,-0.01648060511580765,-0.09147110262398951,0.08049247159598731,0.01656944311540782,-0.1258842479100345,-0.035135558142203774
P,-0.9075936117051129,-0.010902762431212786,-0.3153082091798212,0.6222523222338491,0.9072305795962472,0.9544103729067106,1.0,0.2691848105090918,0.3617813687367642,0.5570984895530583,0.8004835099550659,0.8740076967234872,0.7879318020082513,0.2730779216033461,0.7756979311340716,0.5673780699403898,0.9210774027895599,0.8273192277603304,0.22414211973626677,0.8252672043137114,0.5990976764944279,0.9719153702007874,0.8951120200588315,0.3116592294322635,0.9102424063846887,0.712023540796212,0.7204893373952754,0.5691628410861241,0.7559785600020387,0.6692559775106572,0.46266723251614206,0.6709205789972019,0.355675278110267,0.150238001890117,0.2629179871082812,0.8348961557506038,0.828674348212418,0.9228466329675793,0.8967701560826152,0.0662960946303368,0.11012637166263292,0.3889763164766835,0.39642803441480196,-0.009069164830039864,,-0.027480441361619888,-0.06137695256206719,0.09731328881966964,-0.020558073519876055,-0.13829667123703637,-0.04349201903814388
PIM,-0.3501409574282379,0.06324586681450423,-0.08915673882856856,0.47778887512811835,0.24999229268241469,0.252811350735309,0.2691848105090918,1.0,0.11887813612293564,0.24354432751016547,0.10994882452616046,0.27429633841090206,0.14230291551028657,0.08675548102007057,0.20985468521058456,0.10537156558927979,0.28210605044611664,0.10629709708058614,0.04661184119858158,0.22234721922426373,0.1253101763670008,0.2914945308197289,0.12640961489574534,0.0789274061557332,0.2566730762787294,0.14876854971655296,0.13348328344851643,-0.01962458121911064,0.051177506217013044,0.14372982231335332,0.0016361623073972193,0.07250606082105049,0.020592099496620542,-0.050516890088708466,-0.03996235342033029,0.1779789446210623,0.100729161966485,0.14835534453580035,0.33329651744540334,0.6427614399288148,0.2590909332522418,0.08955894444435628,0.10102066517142579,0.005785272856936643,,-0.0018199203756433938,-0.1199428586047837,0.0125026739570856,0.0658914132020124,0.16436887973274986,0.29486911338003347
+/-,-0.27187561790346765,0.0160774107136603,0.080903572705113,0.13656537675642216,0.2887759972162158,0.3722503036062322,0.3617813687367642,0.11887813612293564,1.0,0.2240782908917731,0.09950687252385627,0.29684902612189423,0.20424524536181662,0.11524166495617937,0.3532744769547933,0.20239083400912944,0.41352329981807984,0.22467573420152984,0.18364923073512965,0.44065491549970504,0.19723665234639742,0.392085721037902,0.23921325582764896,0.18902661317425093,0.4573778098664439,0.24234060689249087,0.23246008259000459,0.27326676262758265,0.30758389879365167,0.2431526029936633,0.27812030820224215,0.3243634007280573,0.07141749923772865,0.05201379413540335,0.07314969070133166,0.2730115375442938,0.3631509326177871,0.3618914634548946,0.2593546333108797,0.08873011652915054,0.12606915722021517,0.06409417515548897,0.04990502559774676,0.043724296600281994,,0.02565933251445867,-0.007550725037901837,-0.005769811233261916,0.008151685962780495,0.026530204886214277,0.05745276222158306
TOI,-0.6341701665573628,0.005131955146487835,0.09200756015382909,0.4411941692492249,0.37534437274091087,0.6240049069983177,0.5570984895530583,0.24354432751016547,0.2240782908917731,1.0,0.5373639333328494,0.3534254976854441,0.3444397647093313,0.1092767190102688,0.3147233332942366,0.3302232672559206,0.6219280362874522,0.5439708288163093,0.23368458339428363,0.5532697693316145,0.42708850647335106,0.528907536432194,0.52036850207216,0.20414778998698385,0.5017954845324635,0.4489034817395231,0.10247812377307645,0.18627078793538396,0.18238768457890217,0.061126460100829526,0.0931613051088314,0.09858270961296331,0.11830651946082932,0.11730109561097292,0.15019645572534465,0.349956128153828,0.5788517457460233,0.5341752354123777,0.5701042989855722,0.11309507442211796,0.5908385583764443,0.10045405636176688,0.08931468900919308,-0.03973187830183159,,-0.04480241158706241,-0.060655170901779874,-0.0595757634994996,0.003079333689657942,-0.02784262443287905,0.06545043242036222
