Rk,Name,Team,Age,Pos,GP,G,A,P,PIM,+/-,TOI,ES,PP,SH,ESG,PPG,SHG,GWG,OTG,ESA,PPA,SHA,GWA,OTA,ESP,PPP,SHP,GWP,OTP,PPP%,G/60,A/60,P/60,ESG/60,ESA/60,ESP/60,PPG/60,PPA/60,PPP/60,G/GP,A/GP,P/GP,SHOTS,SH%,HITS,BS,FOW,FOL,FO%,Unnamed: 0,start_year,team_id,team_name,id,primary_number,birth_date,current_age,birth_city,birth_state_province,birth_country,nationality,height,weight,active,alternate_captain,captain,rookie,shoots_catches,roster_status,position_name,position_type,position_abbreviation
16,Alexander Ovechkin,WSH,36,F,77,50,40,90,18,8.0,20:34,15:48,4:45,0:00,33,16,1,5,0,27.0,13.0,0.0,8.0,0.0,60.0,29.0,1.0,13,0,32.2%,1.894,1.515,3.409,1.627,1.331,2.958,2.62,2.129,4.75,0.649,0.519,1.169,334.0,15.0%,155.0,25.0,4.0,9.0,30.77%,,,,,,,,,,,,,,,,,,,,,,,
56,Kristopher Letang,PIT,34,D,78,10,58,68,49,20.0,25:46,20:52,3:28,1:25,8,2,0,3,2,38.0,20.0,0.0,10.0,2.0,46.0,22.0,0.0,13,4,32.4%,0.298,1.731,2.029,0.295,1.4,1.695,0.442,4.419,4.861,0.128,0.744,0.872,214.0,4.7%,171.0,122.0,0.0,0.0,0.00%,,,,,,,,,,,,,,,,,,,,,,,
58,Quinton Hughes,VAN,22,D,76,8,60,68,28,10.0,25:14,20:33,3:28,1:12,8,0,0,1,1,27.0,31.0,2.0,10.0,2.0,35.0,31.0,2.0,11,3,45.6%,0.25,1.876,2.126,0.307,1.037,1.344,0.0,7.03,7.03,0.105,0.789,0.895,150.0,5.3%,19.0,56.0,0.0,0.0,0.00%,,,,,,,,,,,,,,,,,,,,,,,
65,Teuvo Teräväinen,CAR,27,F,77,22,43,65,24,22.0,17:41,13:09,2:56,1:35,11,9,2,2,0,20.0,22.0,1.0,10.0,2.0,31.0,31.0,3.0,12,2,47.7%,0.969,1.893,2.862,0.651,1.184,1.835,2.384,5.827,8.21,0.286,0.558,0.844,202.0,10.9%,15.0,30.0,24.0,20.0,54.55%,,,,,,,,,,,,,,,,,,,,,,,
75,Jakub Vorácek,CBJ,32,F,79,6,56,62,44,-13.0,17:27,14:13,3:12,0:01,4,2,0,2,1,33.0,23.0,0.0,9.0,3.0,37.0,25.0,0.0,11,4,40.3%,0.261,2.437,2.698,0.214,1.762,1.976,0.474,5.446,5.919,0.076,0.709,0.785,147.0,4.1%,27.0,28.0,5.0,28.0,15.15%,,,,,,,,,,,,,,,,,,,,,,,
78,Nicholas Suzuki,MTL,22,F,82,21,40,61,30,-29.0,20:30,15:54,3:05,1:30,12,8,1,4,0,26.0,12.0,2.0,1.0,0.0,38.0,20.0,3.0,5,0,32.8%,0.749,1.427,2.177,0.552,1.196,1.748,1.894,2.841,4.735,0.256,0.488,0.744,186.0,11.3%,89.0,62.0,699.0,711.0,49.57%,,,,,,,,,,,,,,,,,,,,,,,
97,Lucas Raymond,DET,19,F,82,23,34,57,16,-32.0,18:09,15:20,2:47,0:01,18,5,0,2,2,21.0,13.0,0.0,5.0,2.0,39.0,18.0,0.0,7,4,31.6%,0.927,1.37,2.297,0.859,1.002,1.86,1.308,3.401,4.709,0.28,0.415,0.695,184.0,12.5%,62.0,24.0,12.0,19.0,38.71%,,,,,,,,,,,,,,,,,,,,,,,
104,Joshua Norris,OTT,22,F,66,35,20,55,16,-7.0,18:34,14:46,3:13,0:34,19,16,0,8,1,13.0,7.0,0.0,1.0,0.0,32.0,23.0,0.0,9,1,41.8%,1.713,0.979,2.691,1.169,0.8,1.969,4.5,1.969,6.468,0.53,0.303,0.833,172.0,20.4%,79.0,44.0,529.0,507.0,51.06%,,,,,,,,,,,,,,,,,,,,,,,
127,Anthony DeAngelo,CAR,26,D,64,10,41,51,56,30.0,19:48,16:37,3:02,0:08,8,2,0,2,0,23.0,18.0,0.0,7.0,2.0,31.0,20.0,0.0,9,2,39.2%,0.473,1.941,2.414,0.451,1.297,1.749,0.616,5.54,6.155,0.156,0.641,0.797,151.0,6.6%,41.0,59.0,0.0,0.0,0.00%,,,,,,,,,,,,,,,,,,,,,,,
132,Moritz Seider,DET,20,D,82,7,43,50,34,-9.0,23:02,18:15,2:53,1:53,5,2,0,4,2,22.0,19.0,2.0,6.0,2.0,27.0,21.0,2.0,10,4,42.0%,0.222,1.366,1.588,0.2,0.881,1.082,0.506,4.81,5.316,0.085,0.524,0.61,187.0,3.7%,151.0,161.0,0.0,0.0,0.00%,,,,,,,,,,,,,,,,,,,,,,,
